ids,DataVizRoles_collapsed,YearsDataVizExperience,DataVizCentralityFreelance,ToolsChoiceFreelance,DataVizCentralityEmployee,ToolsChoiceEmployee,OrgIndustry_,OrgIndustry_Finance,OrgIndustry_HealthMed,OrgIndustry_IT,OrgIndustry_Journalism,OrgIndustry_Marketing,OrgIndustry_ConsultantMulti,OrgIndustry_Other__,OrgSize,ChartsUsed_BeeSwarm,ChartsUsed_Histogram,ChartsUsed_3D,ChartsUsed_Bar,ChartsUsed_PieOrDonut,ChartsUsed_Flow,ChartsUsed_Waffle,ChartsUsed_Line,ChartsUsed_Scatterplot,ChartsUsed_DotPlot,ChartsUsed_Treemap,ChartsUsed_Heatmap,ChartsUsed_Boxplot,ChartsUsed_Hexbin,ChartsUsed_ChoroplethMap,ChartsUsed_OtherGeospatialMap,ChartsUsed_Other__,AI_DataViz_Use,AI_DataViz_Tasks_,AI_DataViz_Tasks_Prep,AI_DataViz_Tasks_Analysis,AI_DataViz_Tasks_Storyboarding,AI_DataViz_Tasks_Visualizations,AI_DataViz_Tasks_VizTasksTeams,AI_DataViz_Tasks_Other,AI_DataViz_Workflow__,ToolsFreq_ArcGIS,ToolsFreq_Canva,ToolsFreq_Canvas,ToolsFreq_D3,ToolsFreq_Datawrapper,ToolsFreq_Excel,ToolsFreq_Figma,ToolsFreq_Flourish,ToolsFreq_ggplot2,ToolsFreq_Gephi,ToolsFreq_GoogleDataStudio,ToolsFreq_GoogleSheets,ToolsFreq_Highcharts,DV_Technologies2,ToolsFreq_Illustrator,ToolsFreq_Leaflet,ToolsFreq_Looker,ToolsFreq_Mapbox,ToolsFreq_Matplotlib,ToolsFreq_Observable,ToolsFreq_P5orProcessing,ToolsFreq_PenPaper,ToolsFreq_PhysicalMaterials,ToolsFreq_Plotly,ToolsFreq_PowerBI,ToolsFreq_PowerPoint,DV_Technologies3,ToolsFreq_Python,ToolsFreq_QGIS,ToolsFreq_Qlik,ToolsFreq_R,ToolsFreq_RAWGraphs,ToolsFreq_React,ToolsFreq_Svelte,ToolsFreq_Tableau,ToolsFreq_Vega,ToolsFreq_Vue,ToolsFreq_WebComponents,ToolsFreq_WebGL,Tools_Other__,ToolsLiking_TopThree__,AudienceFreelance_,AudienceFreelance_Public,AudienceFreelance_Analysts,AudienceFreelance_Engineers,AudienceFreelance_Scientists,AudienceFreelance_Medical,AudienceFreelance_ProdProjManagers,AudienceFreelance_PolicyMakers,AudienceFreelance_Execs,AudienceFreelance_Designers,AudienceFreelance_Researchers,AudienceFreelance_Students,AudienceFreelance_Educators,AudienceFreelance_AdminPersonnel,AudienceFreelance_DataVizEnthusiasts,AudienceFreelance_Self,AudienceFreelance_Other__,AudienceEmployee_,AudienceEmployee_Public,AudienceEmployee_Analysts,AudienceEmployee_Engineers,AudienceEmployee_Scientists,AudienceEmployee_Medical,AudienceEmployee_ProdProjManagers,AudienceEmployee_PolicyMakers,AudienceEmployee_Execs,AudienceEmployee_Designers,AudienceEmployee_Researchers,AudienceEmployee_Students,AudienceEmployee_Educators,AudienceEmployee_AdminPersonnel,AudienceEmployee_DataVizEnthusiasts,AudienceEmployee_Self,AudienceEmployee_Other__,DataVizSharingChannels_,DataVizSharingChannels_EmbeddedInTool,DataVizSharingChannels_Dashboard,DataVizSharingChannels_Scrollytelling,DataVizSharingChannels_StaticWebPage,DataVizSharingChannels_InteractiveNotebook,DataVizSharingChannels_DocumentOrReport,DataVizSharingChannels_Presentations,DataVizSharingChannels_Email,DataVizSharingChannels_NewspaperorMagazine,DataVizSharingChannels_PeerReviewedJournal,DataVizSharingChannels_PrintedOnPaper,DataVizSharingChannels_OtherPhysicalMedium,DataVizSharingChannels_VRorAR,DataVizSharingChannels_Installation,DataVizSharingChannels_App,DataVizSharingChannels_Video,DataVizSharingChannels_SocialMedia,DataVizSharingChannels_Other__
24,Employee,3,unasked,unasked,Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes some problems.,1,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,"1,000–4,999 employees",not chosen,not chosen,not chosen,x,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,x,gannt chart,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Rarely,Often,Never,Rarely,Often,Never,Never,Never,Never,Often,Never,not chosen,Sometimes,Never,Never,Rarely,Never,Often,Never,Sometimes,Often,Never,Never,Rarely,not chosen,Never,Never,Never,Never,Often,Often,Sometimes,Never,Never,Never,Never,Never,procreate; photoshop,Ceramics; Figma; Svelte,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,2,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,5,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,x,not chosen,x,not chosen
007F,EmployeeAND,7,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes no problems.,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Manufacturing,"5,000+ employees",not chosen,x,not chosen,x,not chosen,not chosen,not chosen,x,x,not chosen,x,x,not chosen,not chosen,x,x,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,not chosen,Rarely,Never,not chosen,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Often,Sometimes,not chosen,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never,not chosen,Power BI,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,3,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,4,not chosen,x,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
00Ct,FreelanceAND,7,Data visualization is the primary focus of my freelance work.,I’m able to choose my own tools.,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,3,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,x,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished
0.00E+00,EmployeeAND,4,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished
00S9,Employee,6,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,0,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished,unfinished
00xC,Employee,9,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes no problems.,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Higher Education,"5,000+ employees",x,x,not chosen,x,not chosen,not chosen,not chosen,x,x,x,not chosen,x,x,not chosen,not chosen,x,Network analysis,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Never,not chosen,Never,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Rarely,Often,not chosen,Never,Never,Never,Rarely,Never,Never,Never,Often,Never,Never,Never,Never,Gephi,Tableau,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,4,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,x,Colleagues (Staff and Faculty),4,not chosen,x,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
122,Employee,10,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes no problems.,5,x,x,x,not chosen,x,x,not chosen,"5,000+ employees",not chosen,x,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Rarely,Never,not chosen,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,not chosen,Often,Never,Never,Never,Never,Never,Never,Often,Never,Never,Never,Never,not chosen,Tableau,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,6,not chosen,x,x,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,2,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Tableau Server
019h,Employee,3,unasked,unasked,Data visualization is the primary focus of my job.,We have a set list of tools we’re expected to use for data visualization and this causes no problems.,1,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,"5,000+ employees",not chosen,x,not chosen,x,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,x,not chosen,not chosen,x,not chosen,Small multiples,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Never,Sometimes,Never,Never,Never,Often,Never,Never,Sometimes,Never,Never,Never,Never,not chosen,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Never,Rarely,Sometimes,Often,not chosen,Sometimes,Never,Never,Sometimes,Never,Never,Never,Often,Never,Never,Never,Never,not chosen,Tableau; Power BI,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,2,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,2,not chosen,x,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
246,Employee,5,unasked,unasked,"Data visualization is an important secondary part of my job, but not the primary focus.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,1,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Consumer Packaged Goods,"5,000+ employees",not chosen,x,not chosen,x,not chosen,not chosen,not chosen,x,not chosen,x,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,No,0,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Rarely,Sometimes,Never,Never,Never,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,not chosen,not chosen,not chosen,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,not chosen,Rarely,not chosen,Sometimes,not chosen,Rarely,not chosen,not chosen,Rarely,not chosen,not chosen,not chosen,Often,not chosen,not chosen,not chosen,not chosen,Alteryx,Tableau,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,3,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,1,not chosen,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
271,EmployeeAND,6,unasked,unasked,"Data visualization is one of several things I do in my job, but not a primary or secondary focus of my role.",We have a set list of tools we’re expected to use for data visualization and this causes some problems.,2,not chosen,not chosen,x,not chosen,not chosen,not chosen,Transportation,Fewer than 20 employees,not chosen,x,not chosen,x,x,not chosen,not chosen,x,x,not chosen,x,x,x,not chosen,x,x,Word Cloud,Yes,2,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,Never,Often,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,Sometimes,Sometimes,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,AWS Quicksight,AWS Quicksight; Excel; GoogleSheets,0,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,unasked,4,not chosen,not chosen,not chosen,not chosen,not chosen,x,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,x,not chosen,4,x,x,not chosen,not chosen,not chosen,x,x,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen,not chosen
